Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst,CriticVerdict,CriticConf,OrigDecision,DecisionChanged,CatalystVerified,Industry,CriticReasoning,Disqualified,Sector,Country,SectorETF,TickerPerf1M,SectorPerf1M,VsSectorPct
EVC,45,A,GO,92.9,7.69,+93.2,+63.1,61.5,"Entravision Communications Q1 Earnings Call Highlights [Yahoo Finance]",CONFIRM,0.60,GO,False,True,"Advertising Agencies","The signal is sound based on the positive catalyst status (VALID 0.60) and no da",False,"Communication Services","United States",XLC,142.6,4.9,137.7
AVTX,43,A,GO,29.1,21.81,+34.1,+40.2,24.0,"This Small Biotech — Taking On AbbVie; Novartis And Sanofi — Just Catapulted Int",CONFIRM,0.95,GO,False,False,"Biotechnology","The signal is sound based on the breakout and strong catalyst status; despite th",False,"Healthcare","United States",XLV,37.0,-0.8,37.8
OSS,41,A,GO,11.4,15.33,+56.9,+17.0,21.0,"One Stop Systems; Inc. Q1 2026 Earnings Call Summary",CONFIRM,0.95,GO,False,True,"Computer Hardware","The signal is sound based on the valid catalyst status; strong volume; and no da",False,"Technology","United States",XLK,101.2,23.7,77.5
MNKD,40,A,GO,6.5,3.56,+24.5,+20.3,296.0,"MannKind Reports First Quarter 2026 Financial Results and Provides Business Upda",CONFIRM,0.95,GO,False,True,"Biotechnology","The signal is sound based on the valid catalyst status; strong volume; and posit",False,"Healthcare","United States",XLV,38.5,-0.8,39.3
NNE,39,B,WAIT,3.8,29.07,+27.7,+9.2,42.3,"Super Micro Rockets 18% on Earnings Beat; $12.5 Billion Q4 Guide; Nuclear-Powere",CONFIRM,0.95,WAIT,True,True,"Specialty Industrial Machinery","The signal is sound with a valid catalyst status and no danger flags. The cataly",False,"Industrials","United States",XLI,44.6,7.7,36.9
BLMN,38,B,WAIT,3.9,8.12,+41.0,+22.6,84.1,"Bloomin’ Brands (BLMN) jumps after earnings beat and upbeat quarterly outlook",CONFIRM,0.95,WAIT,True,True,"Restaurants","BLMN has shown strong earnings beat and positive quarterly outlook; with valid c",False,"Consumer Cyclical","United States",XLY,43.5,11.2,32.3
CLRB,38,B,WAIT,2.0,3.53,+11.0,-1.9,4.0,"Cellectar (CLRB) Phase 2b Data Shows Durable Responses in Waldenström Macroglobu",CONFIRM,0.90,WAIT,True,True,"Biotechnology","The signal is sound with a valid catalyst status (0.90) and no danger flags. The",False,"Healthcare","United States",XLV,28.4,-0.8,29.2
FLYW,38,B,WAIT,5.6,17.51,+20.5,+14.7,109.6,"B. Riley Adjusts Price Target on Flywire to $22 From $20; Maintains Buy Rating",CONFIRM,0.95,WAIT,True,True,"Software - Infrastructure","The signal is sound based on the catalyst's price adjustment to $22 from $20; ma",False,"Technology","United States",XLK,49.8,23.7,26.1
CXDO,37,B,WAIT,5.6,9.74,+17.2,+7.1,17.4,"B. Riley Adjusts Price Target on Crexendo to $10 From $8; Maintains Buy Rating",CONFIRM,0.85,WAIT,True,True,"Telecom Services","The signal is sound based on the Catalyst recommendation of adjusting the price ",False,"Communication Services","United States",XLC,52.4,4.9,47.5
ATLN,36,B,WAIT,27.0,1.50,+18.1,-4.7,11.0,"Atlantic International’s Circle8 Group Secures $380 Million Four-Year Technology",CONFIRM,0.60,WAIT,True,True,"Staffing & Employment Services","The signal is valid (Catalyst status: VALID (0.60)) and the catalyst is a strong",False,"Industrials","United States",XLI,-50.2,7.7,-57.9
COMP,35,B,WAIT,2.2,9.24,+27.3,+27.8,675.2,"Davita; Bloomin' Brands; Compass And Other Big Stocks Moving Higher On Wednesday",CONFIRM,0.95,WAIT,True,True,"Real Estate Services","The signal is sound with a strong catalyst in the real estate services industry.",False,"Real Estate","United States",XLRE,38.3,7.2,31.1
DOC,35,B,WAIT,3.4,19.50,+18.1,+2.7,693.1,"Healthpeak Properties Q1 FFOA Tops Estimates on Steady Leasing Momentum [Yahoo F",CONFIRM,0.60,WAIT,True,True,"REIT - Healthcare Facilities","The signal is sound based on the valid catalyst and strong momentum in the leasi",False,"Real Estate","United States",XLRE,16.2,7.2,9.0
HOVR,34,B,WAIT,5.1,2.81,+23.2,+1.3,37.3,"Join Horizon Aircraft's Exclusive Live Investor Webinar and Q&A Session on May 7",CONFIRM,0.95,WAIT,True,True,"Aerospace & Defense","The signal is sound with a high confidence level. The HOVR is showing a strong p",False,"Industrials","Canada",XLI,102.2,7.7,94.5
SKYX,34,B,WAIT,7.7,1.30,+20.4,+11.1,88.5,"SKYX Will Deploy its Technologies in its First European Hotel During a Master Re",CONFIRM,0.90,WAIT,True,True,"Electrical Equipment & Parts","The signal is valid with a high confidence level (0.90); indicating that the cat",False,"Industrials","United States",XLI,18.2,7.7,10.5
ADNT,33,B,WAIT,3.0,22.32,+8.0,+11.0,76.7,"ADNT Q2 Earnings Beat on Revenue Growth and Solid Execution",CONFIRM,0.60,WAIT,True,True,"Auto Parts","The signal is sound with a valid catalyst status (0.60) and no danger flags. The",False,"Consumer Cyclical","Ireland",XLY,11.5,11.2,0.3
AUR,33,B,WAIT,2.1,7.27,+11.3,+1.7,0.0,"Berkshire Hathaway Explores Autonomous Freight With McLane Aurora Partnership",CONFIRM,0.95,WAIT,True,True,"Auto Parts","The signal is sound with a valid catalyst and no danger flags. The AUR indicator",False,"Consumer Cyclical","United States",XLY,77.8,11.2,66.6
IFRX,33,B,WAIT,24.3,2.50,+26.9,+29.4,68.0,"InflaRx Announces Pricing of $150 Million Underwritten Offering of Ordinary Shar",CONFIRM,0.95,WAIT,True,True,"Biotechnology","The signal is sound with a valid catalyst and no danger flags. The high volume a",False,"Healthcare","Germany",XLV,158.5,-0.8,159.3
NVAX,33,B,WAIT,4.1,9.36,+15.6,+5.7,154.9,"Novavax; Inc. Q1 2026 Earnings Call Summary [Yahoo Finance]",CONFIRM,0.95,WAIT,True,True,"Biotechnology","The signal is sound based on the valid catalyst status; strong volume; and no da",False,"Healthcare","United States",XLV,17.3,-0.8,18.1
WKHS,33,B,WAIT,6.8,4.07,+28.0,+0.3,8.1,"Workhorse Partners with InCharge Energy to Offer Enhanced Customer Support Acros",CONFIRM,0.95,WAIT,True,True,"Auto Manufacturers","The signal is sound with a valid catalyst and no danger flags. The company is pa",False,"Consumer Cyclical","United States",XLY,64.1,11.2,52.9
EMBC,32,B,WAIT,7.6,3.56,-8.7,+2.3,54.4,"Why Embecta Stock Plummeted Today [Yahoo Finance]",CONFIRM,0.95,WAIT,True,True,"Medical Instruments & Supplies","The signal is sound with a strong catalyst; valid status; and no danger flags. T",False,"Healthcare","United States",XLV,-59.7,-0.8,-58.9
GDYN,32,B,WAIT,5.7,6.76,+10.8,-1.6,65.2,"GDYN: Raising target price to $5.00",CONFIRM,0.60,WAIT,True,True,"Information Technology Services","The signal is sound with a valid catalyst status (0.60) and no danger flags. The",False,"Technology","United States",XLK,19.0,23.7,-4.7
QMCO,32,B,WAIT,4.8,10.03,+21.3,+8.9,14.0,"Quantum to Participate at the Needham Technology; Media & Consumer Conference on",CONFIRM,0.95,WAIT,True,True,"Computer Hardware","The signal is sound with a valid catalyst status and no danger flags. The cataly",False,"Technology","United States",XLK,64.4,23.7,40.7
TONX,32,B,WAIT,2.3,3.19,+19.9,+6.4,40.7,"TON Strategy Company Highlights TON Network Performance Upgrade; Lower Transacti",CONFIRM,0.95,WAIT,True,True,"Software - Application","The signal is sound with a high confidence level. The catalyst highlights a posi",False,"Technology","United States",XLK,53.4,23.7,29.7
BLDP,31,B,WAIT,4.0,4.78,+10.4,-1.9,296.8,"Lake Street Upgrades Ballard Power Systems to Buy; Raises Price Target to $5",CONFIRM,0.60,WAIT,True,True,"Electrical Equipment & Parts","The signal is sound with a valid catalyst and positive industry outlook. The pri",False,"Industrials","Canada",XLI,99.2,7.7,91.5
GOVX,31,B,WAIT,7.5,1.65,+16.2,+1.1,2.9,"GeoVax Initiates Phase 3 Execution Activities for GEO-MVA Under EMA-Aligned Immu",DOWNGRADE,0.65,WAIT,False,True,"Biotechnology","The signal shows a moderate confidence level due to the RVOL_FLOAT_MISMATCH flag",False,"Healthcare","United States",XLV,36.4,-0.8,37.2
