blocker_id,source,capability,classification,owner,reproduction,repair,tests,deployment,observation,rollback,evidence,disposition
CL-01,claude,L3,"L3 judgment cost_usd=0.0 on 5 real paid calls",claude,"_extract_response reads cost_usd; DeepSeekResponse defines estimated_cost_usd. Verified in dataclass + 5 live cache records","read estimated_cost_usd, carry cost_basis/pricing_tier","test_l3_record_integrity_20260912::test_cost_usd_reflects_real_client_cost_field (failed pre-fix)",PR#975,"pending promote","revert commit e48ff8aaa","l3_judgment_cache.jsonl x5 all cost_usd=0.0",FIXED_LOCAL
CL-02,claude,L3,"prompt_digest never set; wake reads a key nobody writes",claude,"grep run_author envelope: no prompt_digest key","digest the prompt actually sent; add to required fields","test_prompt_digest_is_persisted (failed pre-fix)",PR#975,pending,revert,"5 wake records prompt_digest null",FIXED_LOCAL
CL-03,claude+GR-020,L3,"one judgment_id for 5 distinct judgments",claude,"views.jsonl: 2 views 18:00:36Z/19:00:33Z conf 0.72 vs 0.60, different falsifiers+critique_ids, SAME judgment_id","bind output_digest into the id; refuse model-supplied id","test_judgment_id_is_unique_per_judgment_not_per_input (failed pre-fix)",PR#975,pending,revert,"views.jsonl 2 rows",FIXED_LOCAL
CL-04,claude+GR-019,L3,"cache key includes raw decay_weight; 0% hit rate, full spend hourly",claude,"5 cache entries, 5 distinct keys, identical input_digest","quantize decay_weight to 2dp in evidence_revision_token","test_cache_does_not_invalidate_on_continuous_decay_drift (failed pre-fix) + 2 guard rails",PR#975,pending,revert,"l3_judgment_cache.jsonl 5 keys",FIXED_LOCAL
CL-05,claude+GR-024,L3,"release='' on every judgment; wake provenance had no epoch_id or release",claude,"grep persistent_agent_wake: release only read, never set","write both; keep epoch_id (env-overridable) distinct from release","test_wake_provenance_records_epoch_and_release + separation test",PR#975,pending,revert,"cache rows release:''",FIXED_LOCAL
CL-06,claude,budget,"no per-lane reservation; advisory_desk_opinion took $0.834/1019 calls of $1.50, starving L3 and L2",claude,"llm_cost_reservations 36h aggregate; process caps sum $15.48 vs $1.50 global","lane floors withhold unconsumed reservation; wired into check_cost_cap (the live gate) and reserve_projected_cost","test_llm_lane_reservation_20260912 x16 incl. no-floors-is-identical rollback property",PR#975,"ships EMPTY - no behaviour change until an operator sets a floor","empty config/llm_lane_floors.json","wake log COST_CAP_EXCEEDED from 17:00Z; research log BUDGET_REFUSED",FIXED_LOCAL_INERT_BY_DEFAULT
CL-07,claude,L1/process,"ai_local_acceptance.sh self-test fails whenever a git-push grant is live; set -e then skipped EVERY later gate",claude,"ran the probe with and without an isolated GUARD_APPROVALS_DIR","probe with an empty temp ledger; real ledger untouched","re-run of the wrapper now reaches release-equivalent + lane registry",PR#975,pending,revert,"observed live: script aborted at step one",FIXED_LOCAL
CL-08,claude,L1,"14 scheduled lanes undeclared incl. the maturity spine",claude,"check_lane_registry --fail-on-new after CL-07 fix","declared all 14 with signals verified against live data; 6 honest UNVERIFIABLE","evaluate_lane read-back: 4 LIVE, 3 SLOW, 1 LIVE, 6 UNVERIFIABLE",PR#975,pending,"revert config/lane_registry.json","registry gate clean",FIXED_LOCAL
CL-09,GR-014/GR-016/GG-014,L2,"free-first circulation: 93 consecutive timeout kills, 0 successes in 4 days, no durable failure record",claude,"journalctl: every run Result=timeout at TimeoutStartSec=900; receipt frozen at 2026-09-07","deadline below unit timeout + resume cursor + separate failure receipt","test_free_first_deadline_20260912 x7 (all failed pre-fix)",PR#975,pending,revert,"systemd status failed(timeout) 17min before capture",FIXED_LOCAL
CL-10,GR-015/GG-015,L5,"timer_health returned healthy=true through the whole 4-day outage",claude,"ran the live predicate: healthy=true beside last_finished_at 2026-09-07 and a non-served SHA","freshness + epoch agreement + unit state + named unhealthy_reasons; zero spend no longer positive evidence","test_free_first_scheduler_health_20260912 x10 (8 failed pre-fix) + corrected test_r93",PR#975,pending,revert,"live predicate output captured",FIXED_LOCAL
CL-11,GR-026/GG-019,L4,"no scheduled pass ever revisits a due commitment",claude,"0 cron + 0 systemd run an outcome evaluator; evaluate_outcome called inline at freeze time","sweep_due_commitments + CLI; immutable outcomes, PROPOSED lessons only, no model","test_commitment_outcome_sweep_20260912 x16",PR#975,pending,revert,"dry run: 224 records, 99 predictions, 0 due, 0 falsifiable",PARTIALLY_FALSIFIED_VALIDATOR_THEN_FIXED
CL-12,GR-002/GG-011,L1,"state root split: producers write a tree the API never reads",claude,"two inodes; census across all 5 OVERLAY_RELS","DETECTOR ONLY - shipped scripts/check_state_root_split.py","test_state_root_split_20260912 x8",PR#975,"n/a","n/a","164-172 stale served files; BIDIRECTIONAL (19 runtime files newer on served side); data/portfolios/state is outside my grants",OPEN_NEEDS_OPERATOR
CL-13,claude,CI,"6 new test files unregistered; ci_self_guards caught it",claude,"CI cio-hardening failure reproduced locally","registered in a new maturity_overnight_20260912 gate; ALSO widened ai_local_acceptance path classification so maturity libs run CIO hardening locally","test_ci_test_coverage_gate passes",PR#975,pending,revert,"CI run 34664308879",FIXED_LOCAL
CL-14,GG-018,L3,"governance lane REJECTED my judgment_id finding as content-addressing",claude,"read views.jsonl directly","none - finding upheld","n/a",n/a,n/a,n/a,"Two persisted views an hour apart, confidence 0.72 vs 0.60, different falsifiers, different critique_ids, one judgment_id. A content address that two contradictory records both claim is not an identifier. Runtime lane GR-020 independently CONFIRMED and marked FIXED_RETEST_PASS.",VALIDATOR_FALSIFIED_WITH_EVIDENCE
CL-15,GR-001,L1,"my B2 claimed 235 cron lines execute stale devtree code",claude,"recounted","restated: 235 was path-MENTIONS; 106 execute devtree code; 1 materially affected by the 2-commit lag","n/a",n/a,n/a,n/a,"GR-001 correction accepted in full",MY_CLAIM_CORRECTED
