path,filename,size_bytes,modified,classification,reason
docs/A1A.md,A1A.md,4105,2026-05-12,KEEP_ACTIVE,Active reference documentation
docs/AGENT_PAGES_DETAIL.md,AGENT_PAGES_DETAIL.md,12667,2026-05-27,KEEP_ACTIVE,Claude Code built - Command Center documentation
docs/AGENT_ROSTER.md,AGENT_ROSTER.md,6367,2026-05-24,KEEP_ACTIVE,Active agent roster
docs/APPENDIX_E_SCRIPT_ROUTING_MATRIX.md,APPENDIX_E_SCRIPT_ROUTING_MATRIX.md,5015,2026-05-11,KEEP_ACTIVE,Script routing reference
docs/ARCHITECTURE_OVERVIEW.md,ARCHITECTURE_OVERVIEW.md,15399,2026-05-27,KEEP_ACTIVE,Architecture overview - source of truth
docs/CHEAT_SHEET.md,CHEAT_SHEET.md,21202,2026-05-21,KEEP_ACTIVE,Operations cheat sheet
docs/CLAUDE_CODE_EXECUTION_PROMPT_LLM_v4_1_FINAL.md,CLAUDE_CODE_EXECUTION_PROMPT_LLM_v4_1_FINAL.md,28413,2026-05-11,KEEP_ACTIVE,LLM execution prompt reference
docs/COMMAND_CENTER_PAGE_MATRIX.md,COMMAND_CENTER_PAGE_MATRIX.md,9944,2026-05-27,KEEP_ACTIVE,Claude Code built - Command Center page matrix
docs/COST_MODEL.md,COST_MODEL.md,8450,2026-05-12,KEEP_ACTIVE,Cost model reference
docs/DASHBOARD_AUDIT_WORKFLOW.md,DASHBOARD_AUDIT_WORKFLOW.md,1847,2026-05-23,KEEP_ACTIVE,Dashboard audit workflow
docs/DOCS_ROSTER.md,DOCS_ROSTER.md,16279,2026-05-26,KEEP_ACTIVE,Documentation roster
docs/GPU_OLLAMA_SETUP.md,GPU_OLLAMA_SETUP.md,3458,2026-05-08,KEEP_ACTIVE,GPU/Ollama setup guide
docs/LLM_DATA_DICTIONARY.md,LLM_DATA_DICTIONARY.md,8709,2026-05-13,KEEP_ACTIVE,LLM data dictionary
docs/LLM_FLEET_STRATEGY_v4_1_FINAL.md,LLM_FLEET_STRATEGY_v4_1_FINAL.md,57233,2026-05-14,KEEP_ACTIVE,LLM fleet strategy
docs/MASTER_SYSTEM_DOCUMENTATION.md,MASTER_SYSTEM_DOCUMENTATION.md,111179,2026-05-14,KEEP_ACTIVE,Master system documentation
